game no.,winner name,KO counts,Damage percentages
496,curt,BEEF:0 postmabone:2,BEEF:176 postmabone:299
497,Thomato,Thomato:4 rupa:2 raki:0 curt:6 postmabone:0 sivad:5,Thomato:338 rupa:563 raki:722 curt:1308 postmabone:1378 sivad:0
498,raki,BEEF:2 sivad:0 curt:3,BEEF:100 sivad:282 curt:512
499,LONG,raki:2 curt:2,raki:109 curt:39
500,curt,postmabone:0 LONG:0 curt:10 sivad:1 Thomato:7,postmabone:387 LONG:444 curt:433 sivad:1549 Thomato:1058
501,sivad,curt:18 Thomato:18 LONG:0 rupa:8 postmabone:12 sivad:13 raki:0,curt:411 Thomato:930 LONG:420 rupa:504 postmabone:468 sivad:0 raki:1415
502,LONG,BEEF:2 curt:8 sivad:12 raki:10 rupa:7,BEEF:181 curt:835 sivad:441 raki:400 rupa:1624
503,LONG,LONG:15 postmabone:4 rupa:13 BEEF:9 Thomato:13 sivad:7,LONG:629 postmabone:419 rupa:880 BEEF:1350 Thomato:672 sivad:758
504,raki,curt:5 Thomato:11 raki:8 postmabone:8 sivad:8,curt:331 Thomato:676 raki:301 postmabone:97 sivad:1209
505,BEEF,sivad:1 rupa:2,sivad:231 rupa:28
506,raki,curt:4 postmabone:0 BEEF:6,curt:267 postmabone:585 BEEF:63
507,curt,LONG:8 curt:6 raki:2 BEEF:1 Thomato:8,LONG:615 curt:437 raki:352 BEEF:326 Thomato:561
508,curt,curt:1 postmabone:2 rupa:4,curt:118 postmabone:131 rupa:322
509,sivad,raki:6 curt:16 BEEF:18 postmabone:18 LONG:1 rupa:8 Thomato:16,raki:5 curt:1071 BEEF:0 postmabone:861 LONG:1208 rupa:1502 Thomato:523
510,LONG,postmabone:0 curt:4 BEEF:7 rupa:7,postmabone:0 curt:542 BEEF:0 rupa:624
511,LONG,rupa:3 postmabone:0 Thomato:5 LONG:5,rupa:473 postmabone:391 Thomato:701 LONG:657
512,LONG,postmabone:1 sivad:3,postmabone:207 sivad:146
513,LONG,BEEF:8 postmabone:11 sivad:9 rupa:12 Thomato:5 curt:4 raki:11,BEEF:654 postmabone:394 sivad:1314 rupa:926 Thomato:1374 curt:334 raki:649
514,raki,Thomato:11 sivad:10 rupa:9 raki:15 BEEF:6 postmabone:21 curt:16 LONG:3,Thomato:0 sivad:936 rupa:1607 raki:1074 BEEF:601 postmabone:693 curt:1932 LONG:1332
515,raki,raki:15 Thomato:15 LONG:10 rupa:5 curt:5 sivad:8,raki:257 Thomato:1084 LONG:257 rupa:516 curt:1064 sivad:748
516,curt,rupa:9 postmabone:7 BEEF:6 sivad:0,rupa:188 postmabone:250 BEEF:143 sivad:290
517,sivad,raki:1 curt:7 rupa:6 LONG:3 Thomato:15 postmabone:15,raki:553 curt:636 rupa:801 LONG:731 Thomato:1150 postmabone:706
518,Thomato,sivad:0 Thomato:3 postmabone:1,sivad:372 Thomato:612 postmabone:0
519,BEEF,Thomato:0 curt:1 LONG:0 BEEF:4 postmabone:4,Thomato:368 curt:306 LONG:291 BEEF:645 postmabone:298
520,rupa,curt:12 postmabone:12 raki:4 Thomato:5 BEEF:12,curt:483 postmabone:507 raki:628 Thomato:1022 BEEF:558
521,raki,Thomato:2 sivad:2,Thomato:362 sivad:60
522,sivad,raki:2 BEEF:0,raki:59 BEEF:209
523,sivad,curt:3 Thomato:3 LONG:4,curt:0 Thomato:357 LONG:509
524,BEEF,curt:6 Thomato:3 raki:0 BEEF:3,curt:601 Thomato:758 raki:291 BEEF:319
525,BEEF,BEEF:4 curt:1 Thomato:6,BEEF:326 curt:553 Thomato:141
526,sivad,Thomato:15 curt:3 raki:4 rupa:7 sivad:5 BEEF:7,Thomato:490 curt:552 raki:1211 rupa:1469 sivad:746 BEEF:0
527,sivad,sivad:2 raki:0,sivad:194 raki:17
528,postmabone,LONG:1 rupa:2,LONG:236 rupa:20
529,sivad,LONG:0 postmabone:0,LONG:89 postmabone:189
530,raki,Thomato:3 raki:0 curt:3,Thomato:449 raki:406 curt:197
531,LONG,postmabone:1 LONG:1,postmabone:231 LONG:195
532,raki,curt:1 BEEF:2,curt:72 BEEF:211
533,curt,BEEF:18 sivad:16 postmabone:10 curt:11 LONG:10 Thomato:12 raki:11,BEEF:792 sivad:622 postmabone:0 curt:1242 LONG:1043 Thomato:0 raki:190
534,LONG,BEEF:0 Thomato:3 rupa:0,BEEF:449 Thomato:483 rupa:249
535,BEEF,postmabone:3 rupa:11 LONG:0 BEEF:12 Thomato:5 sivad:3 curt:6,postmabone:2192 rupa:476 LONG:868 BEEF:811 Thomato:1068 sivad:1175 curt:705
536,BEEF,sivad:2 rupa:1,sivad:90 rupa:224
537,sivad,sivad:2 curt:1,sivad:55 curt:106
538,raki,LONG:0 BEEF:3 curt:2,LONG:383 BEEF:419 curt:224
539,raki,Thomato:3 raki:0 rupa:4,Thomato:471 raki:280 rupa:224
540,sivad,sivad:11 raki:6 LONG:6 curt:5 Thomato:7,sivad:785 raki:112 LONG:69 curt:633 Thomato:1151
541,BEEF,Thomato:5 raki:3 LONG:0 sivad:11 rupa:6 postmabone:10 BEEF:11,Thomato:0 raki:1437 LONG:766 sivad:1527 rupa:960 postmabone:1359 BEEF:766
542,rupa,BEEF:5 Thomato:6 sivad:2,BEEF:232 Thomato:179 sivad:652
543,BEEF,Thomato:7 sivad:0 curt:5 raki:9 rupa:12,Thomato:1118 sivad:754 curt:485 raki:665 rupa:471
544,rupa,LONG:8 raki:10 sivad:9 BEEF:13 Thomato:6 rupa:12,LONG:1123 raki:352 sivad:967 BEEF:1108 Thomato:926 rupa:807
545,LONG,sivad:2 curt:1 raki:4,sivad:349 curt:663 raki:186
546,BEEF,BEEF:7 postmabone:14 sivad:10 LONG:7 raki:0 Thomato:4 curt:14,BEEF:819 postmabone:1011 sivad:621 LONG:1026 raki:1258 Thomato:0 curt:2023
547,LONG,rupa:8 postmabone:6 LONG:4 sivad:6 BEEF:16 Thomato:10 raki:15,rupa:593 postmabone:1217 LONG:1833 sivad:214 BEEF:27 Thomato:1949 raki:1614
548,rupa,raki:5 curt:18 postmabone:5 rupa:1 sivad:14 Thomato:21 BEEF:8 LONG:11,raki:1411 curt:916 postmabone:899 rupa:742 sivad:1508 Thomato:2020 BEEF:1755 LONG:2077
549,Thomato,LONG:5 curt:2 rupa:9 Thomato:7 sivad:5 BEEF:2,LONG:1118 curt:768 rupa:670 Thomato:398 sivad:816 BEEF:557
550,curt,curt:7 sivad:5 Thomato:5 postmabone:1,curt:441 sivad:130 Thomato:622 postmabone:243
551,sivad,sivad:7 BEEF:7 Thomato:14 curt:4 raki:4 LONG:12,sivad:0 BEEF:717 Thomato:204 curt:1045 raki:0 LONG:459
552,sivad,LONG:9 sivad:4 Thomato:3 postmabone:3 curt:7,LONG:811 sivad:1037 Thomato:1095 postmabone:1042 curt:438
553,raki,sivad:11 rupa:0 BEEF:11 Thomato:8 curt:5 LONG:1 postmabone:10,sivad:0 rupa:354 BEEF:1760 Thomato:740 curt:173 LONG:1392 postmabone:1320
554,Thomato,BEEF:3 rupa:2 raki:5 Thomato:4 curt:1,BEEF:425 rupa:341 raki:611 Thomato:396 curt:859
555,postmabone,postmabone:0 curt:4 sivad:5,postmabone:376 curt:283 sivad:364
556,sivad,raki:8 BEEF:9 postmabone:12 rupa:4 LONG:5,raki:10 BEEF:838 postmabone:816 rupa:392 LONG:461
557,rupa,BEEF:15 curt:4 Thomato:3 postmabone:4 raki:8 rupa:6,BEEF:415 curt:623 Thomato:317 postmabone:657 raki:465 rupa:0
558,LONG,BEEF:6 postmabone:8 curt:16 LONG:21 Thomato:8 sivad:8 rupa:4 raki:7,BEEF:1119 postmabone:0 curt:529 LONG:2532 Thomato:1586 sivad:1164 rupa:1909 raki:433
559,raki,curt:5 BEEF:15 LONG:11 postmabone:10 raki:14 sivad:15 rupa:15 Thomato:20,curt:941 BEEF:956 LONG:1168 postmabone:1220 raki:1485 sivad:1358 rupa:2641 Thomato:236
560,curt,curt:3 LONG:1,curt:379 LONG:29
561,LONG,raki:2 LONG:2,raki:117 LONG:0
562,curt,LONG:0 sivad:5 raki:3,LONG:429 sivad:581 raki:297
563,BEEF,raki:6 rupa:12 curt:5 postmabone:12 Thomato:11,raki:814 rupa:659 curt:474 postmabone:96 Thomato:0
564,raki,BEEF:5 LONG:9 Thomato:5 sivad:4 raki:7,BEEF:498 LONG:0 Thomato:574 sivad:999 raki:631
565,Thomato,LONG:5 BEEF:6 rupa:0,LONG:0 BEEF:528 rupa:0
566,raki,curt:3 postmabone:9 sivad:9 BEEF:6,curt:636 postmabone:175 sivad:331 BEEF:819
567,curt,BEEF:15 rupa:10 sivad:8 raki:8 curt:11 LONG:1,BEEF:0 rupa:358 sivad:1265 raki:688 curt:711 LONG:762
568,postmabone,LONG:13 rupa:14 raki:17 sivad:15 BEEF:0 curt:15 postmabone:14 Thomato:15,LONG:632 rupa:1004 raki:1514 sivad:1014 BEEF:1378 curt:1334 postmabone:330 Thomato:1818
569,BEEF,BEEF:4 sivad:9 curt:0 Thomato:9 postmabone:10 rupa:16 raki:5,BEEF:1768 sivad:185 curt:243 Thomato:787 postmabone:926 rupa:0 raki:378
570,curt,sivad:5 curt:3 postmabone:2 Thomato:2,sivad:1184 curt:460 postmabone:668 Thomato:490
571,Thomato,Thomato:5 raki:3 postmabone:0,Thomato:166 raki:612 postmabone:62
572,BEEF,curt:0 Thomato:1 rupa:6 raki:6 BEEF:12,curt:1292 Thomato:801 rupa:691 raki:1365 BEEF:590
573,LONG,LONG:6 sivad:5 raki:2 rupa:4,LONG:751 sivad:0 raki:428 rupa:301
574,curt,sivad:3 rupa:0,sivad:109 rupa:134
575,postmabone,BEEF:13 raki:2 rupa:0 Thomato:1 sivad:7 postmabone:0,BEEF:1456 raki:510 rupa:1280 Thomato:916 sivad:1254 postmabone:140
576,LONG,Thomato:3 postmabone:6 rupa:0 sivad:3 curt:4,Thomato:568 postmabone:930 rupa:717 sivad:0 curt:36
577,curt,postmabone:8 BEEF:3 raki:14 curt:2 Thomato:4 LONG:5 rupa:0,postmabone:736 BEEF:1630 raki:1620 curt:214 Thomato:961 LONG:583 rupa:402
578,Thomato,raki:11 curt:8 postmabone:5 rupa:0 sivad:12,raki:598 curt:295 postmabone:0 rupa:781 sivad:730
579,BEEF,sivad:3 raki:9 BEEF:10 curt:5 Thomato:9 LONG:10 rupa:16 postmabone:4,sivad:349 raki:1152 BEEF:3016 curt:1211 Thomato:516 LONG:1056 rupa:1056 postmabone:1992
580,rupa,postmabone:11 curt:13 raki:7 LONG:8 BEEF:8 sivad:8,postmabone:614 curt:949 raki:1177 LONG:382 BEEF:533 sivad:871
581,Thomato,BEEF:12 Thomato:15 rupa:7 postmabone:7 raki:2 curt:8 LONG:8,BEEF:780 Thomato:1284 rupa:765 postmabone:962 raki:473 curt:898 LONG:948
582,Thomato,raki:0 LONG:4 sivad:1,raki:224 LONG:846 sivad:141
583,sivad,curt:8 sivad:3 Thomato:1 raki:9 postmabone:1,curt:701 sivad:588 Thomato:538 raki:510 postmabone:605
584,Thomato,raki:1 rupa:0,raki:107 rupa:101
585,raki,LONG:3 rupa:17 curt:21 BEEF:9 Thomato:12 raki:0 postmabone:3 sivad:0,LONG:1967 rupa:786 curt:1128 BEEF:2110 Thomato:1542 raki:0 postmabone:921 sivad:1140
586,postmabone,postmabone:13 raki:8 sivad:18 rupa:11 Thomato:10 LONG:12 BEEF:11,postmabone:1465 raki:1252 sivad:1873 rupa:924 Thomato:1255 LONG:762 BEEF:813
587,raki,Thomato:13 LONG:2 BEEF:3 rupa:3 raki:10 curt:2,Thomato:610 LONG:858 BEEF:402 rupa:0 raki:1376 curt:695
588,curt,LONG:4 sivad:4 rupa:6,LONG:342 sivad:506 rupa:208
589,curt,rupa:3 raki:4 sivad:4,rupa:401 raki:368 sivad:45
590,LONG,sivad:4 BEEF:0 raki:3,sivad:691 BEEF:85 raki:76
591,Thomato,Thomato:2 raki:0,Thomato:87 raki:0
592,sivad,raki:1 Thomato:2,raki:210 Thomato:0
593,BEEF,raki:6 rupa:12 curt:9 LONG:3 postmabone:7 BEEF:11,raki:1130 rupa:1025 curt:579 LONG:399 postmabone:773 BEEF:1659
594,sivad,BEEF:4 LONG:13 raki:10 postmabone:0 Thomato:0 curt:10,BEEF:1479 LONG:62 raki:472 postmabone:1075 Thomato:1067 curt:779
595,curt,postmabone:0 raki:11 sivad:10 Thomato:11 rupa:2,postmabone:0 raki:930 sivad:1206 Thomato:617 rupa:261
596,Thomato,LONG:7 postmabone:9 rupa:4 curt:4 sivad:9,LONG:819 postmabone:688 rupa:1280 curt:440 sivad:455
597,sivad,curt:0 sivad:1,curt:215 sivad:136
598,BEEF,raki:3 postmabone:6 LONG:3,raki:202 postmabone:633 LONG:0
599,LONG,rupa:13 Thomato:13 BEEF:7 raki:5 curt:14 LONG:0 postmabone:2,rupa:608 Thomato:1352 BEEF:2319 raki:1393 curt:773 LONG:671 postmabone:0
600,BEEF,LONG:15 rupa:14 curt:12 postmabone:2 raki:6 sivad:12,LONG:645 rupa:883 curt:355 postmabone:897 raki:971 sivad:979
601,sivad,curt:5 LONG:5 rupa:7 BEEF:9,curt:0 LONG:441 rupa:566 BEEF:345
602,curt,Thomato:3 LONG:6 BEEF:4 raki:5,Thomato:21 LONG:205 BEEF:396 raki:228
603,postmabone,curt:1 sivad:2 LONG:4,curt:365 sivad:0 LONG:318
604,Thomato,postmabone:9 Thomato:16 sivad:11 LONG:18 rupa:4 BEEF:0 raki:0 curt:8,postmabone:1525 Thomato:674 sivad:811 LONG:0 rupa:110 BEEF:1645 raki:0 curt:1477
605,curt,postmabone:9 raki:9 BEEF:10 LONG:10 sivad:9 Thomato:14 rupa:2,postmabone:774 raki:409 BEEF:233 LONG:537 sivad:727 Thomato:2136 rupa:1211
606,BEEF,LONG:4 BEEF:2 Thomato:5 postmabone:10 curt:6 rupa:10,LONG:607 BEEF:445 Thomato:965 postmabone:1241 curt:559 rupa:208
607,BEEF,curt:9 Thomato:6 LONG:4 raki:11 BEEF:0 sivad:7 postmabone:0 rupa:2,curt:1405 Thomato:1474 LONG:1794 raki:2027 BEEF:931 sivad:1433 postmabone:2174 rupa:1792
608,postmabone,BEEF:2 rupa:1,BEEF:135 rupa:112
609,curt,LONG:12 BEEF:4 Thomato:7 raki:9 sivad:0,LONG:442 BEEF:741 Thomato:76 raki:487 sivad:544
610,raki,Thomato:8 BEEF:10 curt:0 LONG:8 rupa:2 postmabone:1,Thomato:135 BEEF:1118 curt:737 LONG:125 rupa:1051 postmabone:1312
611,LONG,sivad:5 LONG:4 raki:5 postmabone:4,sivad:657 LONG:194 raki:89 postmabone:370
612,BEEF,sivad:6 postmabone:3 BEEF:12 Thomato:10 raki:11 curt:7 rupa:18,sivad:0 postmabone:530 BEEF:0 Thomato:1630 raki:758 curt:27 rupa:1080
613,LONG,postmabone:3 BEEF:11 Thomato:7 rupa:12 raki:4 LONG:5,postmabone:372 BEEF:0 Thomato:558 rupa:1287 raki:974 LONG:396
614,Thomato,Thomato:11 curt:6 LONG:5 BEEF:5 rupa:14 sivad:10 raki:9 postmabone:0,Thomato:44 curt:652 LONG:1438 BEEF:1121 rupa:1532 sivad:0 raki:2396 postmabone:1698
615,LONG,curt:0 rupa:0 raki:4,curt:197 rupa:39 raki:0
616,sivad,BEEF:14 curt:6 postmabone:12 sivad:11 Thomato:4 LONG:11,BEEF:601 curt:446 postmabone:46 sivad:806 Thomato:1011 LONG:1404
617,postmabone,raki:3 BEEF:2,raki:203 BEEF:6
618,LONG,Thomato:18 postmabone:2 sivad:15 rupa:6 LONG:18 curt:15 BEEF:5,Thomato:1418 postmabone:1517 sivad:672 rupa:243 LONG:1505 curt:526 BEEF:983
619,Thomato,sivad:13 LONG:12 BEEF:11 postmabone:9 rupa:0 raki:7 Thomato:17 curt:17,sivad:1218 LONG:1698 BEEF:1681 postmabone:954 rupa:626 raki:1922 Thomato:1283 curt:1087
620,postmabone,sivad:4 raki:2 rupa:2,sivad:584 raki:333 rupa:329
621,sivad,raki:14 Thomato:21 curt:13 rupa:14 postmabone:1 BEEF:21 sivad:9 LONG:13,raki:0 Thomato:1773 curt:625 rupa:2066 postmabone:912 BEEF:0 sivad:1028 LONG:2131
622,Thomato,LONG:1 Thomato:2,LONG:166 Thomato:0
623,sivad,raki:16 Thomato:2 BEEF:6 curt:2 sivad:2 postmabone:10 LONG:10,raki:998 Thomato:447 BEEF:0 curt:743 sivad:1587 postmabone:1516 LONG:482
624,rupa,raki:0 postmabone:2,raki:228 postmabone:185
625,curt,postmabone:4 LONG:4 curt:6 rupa:8 BEEF:4 sivad:0,postmabone:260 LONG:1134 curt:1022 rupa:1615 BEEF:1120 sivad:1002
626,Thomato,raki:3 sivad:2,raki:102 sivad:226
627,sivad,BEEF:7 curt:11 LONG:6 rupa:9 Thomato:11 raki:14 postmabone:4 sivad:15,BEEF:986 curt:662 LONG:775 rupa:0 Thomato:2103 raki:1477 postmabone:8 sivad:1349
628,rupa,BEEF:5 curt:5 LONG:15 sivad:15 rupa:8 raki:4,BEEF:1343 curt:846 LONG:670 sivad:319 rupa:302 raki:1117
629,Thomato,Thomato:0 BEEF:1,Thomato:232 BEEF:180
630,LONG,LONG:18 BEEF:13 postmabone:10 rupa:9 curt:6 sivad:11 raki:7 Thomato:1,LONG:1983 BEEF:1890 postmabone:506 rupa:1432 curt:1164 sivad:299 raki:638 Thomato:921
631,postmabone,LONG:13 sivad:6 raki:20 postmabone:5 BEEF:16 rupa:17 curt:15 Thomato:3,LONG:2602 sivad:0 raki:360 postmabone:310 BEEF:477 rupa:1573 curt:1236 Thomato:1334
632,sivad,rupa:6 Thomato:21 sivad:15 raki:11 LONG:6 curt:12 postmabone:13 BEEF:4,rupa:734 Thomato:1334 sivad:880 raki:625 LONG:347 curt:6 postmabone:1548 BEEF:847
633,sivad,Thomato:12 postmabone:0 LONG:12 sivad:8 BEEF:7 rupa:15,Thomato:304 postmabone:1043 LONG:0 sivad:969 BEEF:675 rupa:992
634,postmabone,postmabone:6 curt:10 sivad:5 raki:13 BEEF:14 rupa:13 LONG:8,postmabone:1115 curt:430 sivad:607 raki:952 BEEF:1028 rupa:1656 LONG:0
635,raki,raki:0 LONG:1,raki:147 LONG:277
636,Thomato,BEEF:10 raki:10 LONG:9 sivad:8 postmabone:14 Thomato:9 curt:14,BEEF:1328 raki:674 LONG:1163 sivad:920 postmabone:909 Thomato:723 curt:1697
637,curt,postmabone:6 LONG:18 rupa:12 sivad:21 raki:16 Thomato:20 curt:4 BEEF:21,postmabone:1280 LONG:1599 rupa:683 sivad:1768 raki:1109 Thomato:715 curt:415 BEEF:1357
638,postmabone,rupa:13 raki:13 curt:21 BEEF:17 postmabone:12 sivad:14 LONG:21 Thomato:9,rupa:1708 raki:1711 curt:1161 BEEF:879 postmabone:1311 sivad:1758 LONG:1070 Thomato:545
639,rupa,rupa:7 curt:7 raki:0 Thomato:0 BEEF:7 postmabone:9,rupa:619 curt:1335 raki:227 Thomato:410 BEEF:940 postmabone:317
640,raki,BEEF:1 rupa:0,BEEF:59 rupa:221
641,sivad,BEEF:1 Thomato:5 curt:3,BEEF:64 Thomato:394 curt:0
642,Thomato,LONG:8 rupa:9 Thomato:0 postmabone:2 BEEF:1,LONG:1664 rupa:339 Thomato:1169 postmabone:1667 BEEF:192
643,curt,rupa:2 curt:2,rupa:197 curt:61
644,curt,sivad:7 BEEF:10 raki:14 LONG:17 curt:6 postmabone:13 Thomato:13,sivad:1131 BEEF:1584 raki:1745 LONG:624 curt:689 postmabone:841 Thomato:1364
645,curt,rupa:1 raki:3,rupa:137 raki:100
646,LONG,rupa:4 sivad:1 postmabone:4 BEEF:3,rupa:281 sivad:297 postmabone:412 BEEF:506
647,raki,rupa:0 curt:9 sivad:8 BEEF:14 LONG:3 postmabone:15,rupa:841 curt:1226 sivad:460 BEEF:0 LONG:1127 postmabone:1247
648,rupa,postmabone:11 Thomato:12 curt:9 raki:3 BEEF:1 sivad:14 LONG:11,postmabone:1145 Thomato:851 curt:257 raki:61 BEEF:231 sivad:1029 LONG:1833
649,postmabone,postmabone:0 BEEF:1,postmabone:90 BEEF:133
650,raki,Thomato:5 LONG:1 curt:5 raki:12 rupa:6 sivad:11,Thomato:943 LONG:1270 curt:333 raki:185 rupa:0 sivad:860
651,postmabone,raki:18 BEEF:3 postmabone:6 Thomato:14 curt:0 sivad:3 rupa:18,raki:1135 BEEF:493 postmabone:1725 Thomato:151 curt:811 sivad:1313 rupa:1048
652,rupa,Thomato:2 raki:12 postmabone:0 rupa:8 curt:2,Thomato:216 raki:78 postmabone:609 rupa:621 curt:648
653,rupa,curt:5 sivad:5 LONG:4 Thomato:9 postmabone:3,curt:1031 sivad:478 LONG:866 Thomato:0 postmabone:176
654,postmabone,BEEF:13 LONG:13 sivad:10 postmabone:15 rupa:0 raki:15,BEEF:0 LONG:1245 sivad:902 postmabone:195 rupa:1426 raki:0
655,Thomato,rupa:4 raki:6 LONG:4 postmabone:2,rupa:311 raki:834 LONG:557 postmabone:627
656,postmabone,BEEF:6 sivad:10 postmabone:9 Thomato:6 rupa:4 LONG:2,BEEF:1042 sivad:631 postmabone:1291 Thomato:253 rupa:1029 LONG:139
657,Thomato,curt:5 rupa:6 LONG:4 raki:10 postmabone:7 sivad:8,curt:1149 rupa:359 LONG:1154 raki:0 postmabone:451 sivad:911
658,raki,Thomato:0 BEEF:10 postmabone:8 raki:1 LONG:15 rupa:15,Thomato:501 BEEF:1022 postmabone:0 raki:690 LONG:0 rupa:0
659,sivad,BEEF:2 curt:1 rupa:3,BEEF:0 curt:200 rupa:371
660,rupa,raki:4 sivad:5 curt:5 LONG:6 Thomato:2,raki:473 sivad:528 curt:1174 LONG:0 Thomato:633
661,Thomato,raki:0 sivad:12 postmabone:8 LONG:18 BEEF:13 rupa:12 Thomato:16 curt:11,raki:1109 sivad:1356 postmabone:2160 LONG:637 BEEF:1278 rupa:531 Thomato:734 curt:0
662,raki,Thomato:5 postmabone:2 LONG:4,Thomato:173 postmabone:47 LONG:241
663,raki,BEEF:1 sivad:6 Thomato:3,BEEF:164 sivad:217 Thomato:386
664,BEEF,BEEF:0 sivad:4 rupa:2 raki:15 LONG:9 postmabone:8,BEEF:709 sivad:413 rupa:0 raki:849 LONG:1112 postmabone:583
665,BEEF,BEEF:3 Thomato:5 rupa:0 raki:3,BEEF:775 Thomato:508 rupa:453 raki:761
666,LONG,LONG:5 postmabone:6 sivad:5 Thomato:5,LONG:0 postmabone:651 sivad:597 Thomato:35
667,rupa,postmabone:3 sivad:3 rupa:8 LONG:9,postmabone:196 sivad:818 rupa:843 LONG:153
668,Thomato,postmabone:4 sivad:1 BEEF:2,postmabone:559 sivad:426 BEEF:209
669,raki,LONG:6 Thomato:4 rupa:5 sivad:3,LONG:633 Thomato:373 rupa:355 sivad:613
670,raki,sivad:5 Thomato:3 curt:6,sivad:323 Thomato:284 curt:297
671,postmabone,postmabone:9 LONG:12 sivad:4 rupa:6 Thomato:9 curt:12 BEEF:12,postmabone:467 LONG:1151 sivad:1609 rupa:478 Thomato:1 curt:0 BEEF:881
672,rupa,postmabone:2 BEEF:0,postmabone:233 BEEF:429
673,sivad,raki:20 postmabone:18 sivad:16 BEEF:11 curt:10 rupa:11 Thomato:12 LONG:1,raki:1550 postmabone:990 sivad:839 BEEF:1836 curt:387 rupa:2192 Thomato:659 LONG:687
674,curt,curt:6 sivad:8 LONG:12 postmabone:8 Thomato:17 raki:0 BEEF:1,curt:2107 sivad:454 LONG:641 postmabone:1193 Thomato:691 raki:1047 BEEF:988
675,LONG,BEEF:3 Thomato:3 curt:1,BEEF:0 Thomato:101 curt:455
676,LONG,sivad:6 rupa:20 Thomato:1 raki:8 curt:11 LONG:8 postmabone:16 BEEF:14,sivad:1508 rupa:29 Thomato:2046 raki:957 curt:464 LONG:1397 postmabone:0 BEEF:1900
677,LONG,BEEF:5 curt:10 Thomato:16 sivad:17 rupa:0 postmabone:14 raki:12 LONG:9,BEEF:2025 curt:310 Thomato:2246 sivad:1097 rupa:938 postmabone:831 raki:3053 LONG:1426
678,raki,LONG:9 BEEF:10 curt:15 postmabone:16 rupa:6 Thomato:19 sivad:0 raki:1,LONG:835 BEEF:2279 curt:634 postmabone:150 rupa:1304 Thomato:1244 sivad:1447 raki:1352
679,Thomato,Thomato:15 LONG:2 BEEF:12 curt:10 postmabone:11 raki:2,Thomato:771 LONG:850 BEEF:37 curt:1262 postmabone:842 raki:1018
680,postmabone,rupa:8 BEEF:14 LONG:17 raki:21 sivad:14 curt:13 postmabone:3 Thomato:8,rupa:1335 BEEF:963 LONG:596 raki:1336 sivad:1674 curt:530 postmabone:1069 Thomato:296
681,sivad,curt:3 BEEF:2,curt:213 BEEF:225
682,sivad,raki:8 curt:5 BEEF:5 Thomato:4 sivad:13 postmabone:7,raki:637 curt:0 BEEF:131 Thomato:669 sivad:1060 postmabone:1642
683,curt,postmabone:14 Thomato:21 raki:8 curt:14 sivad:13 LONG:8 BEEF:14 rupa:6,postmabone:937 Thomato:2391 raki:675 curt:1208 sivad:1227 LONG:476 BEEF:1192 rupa:623
684,Thomato,BEEF:21 Thomato:7 raki:3 LONG:7 sivad:21 postmabone:5 rupa:13 curt:15,BEEF:335 Thomato:839 raki:46 LONG:1016 sivad:2327 postmabone:2134 rupa:42 curt:1529
685,raki,raki:1 curt:2,raki:83 curt:275
686,postmabone,BEEF:7 Thomato:9 sivad:9 curt:9,BEEF:375 Thomato:1054 sivad:513 curt:0
687,sivad,curt:14 postmabone:8 rupa:1 LONG:14 raki:9 Thomato:5 sivad:11,curt:807 postmabone:1362 rupa:1403 LONG:1628 raki:880 Thomato:1068 sivad:621
688,rupa,LONG:1 BEEF:1,LONG:32 BEEF:227
689,LONG,LONG:6 rupa:13 raki:21 BEEF:20 Thomato:0 sivad:8 curt:4 postmabone:3,LONG:874 rupa:1106 raki:1051 BEEF:129 Thomato:1575 sivad:1144 curt:0 postmabone:537
690,BEEF,Thomato:6 postmabone:0 rupa:2,Thomato:20 postmabone:310 rupa:347
691,rupa,sivad:8 curt:8 BEEF:5 LONG:4,sivad:271 curt:790 BEEF:710 LONG:426
692,curt,sivad:0 raki:1 LONG:1,sivad:35 raki:453 LONG:47
693,postmabone,postmabone:6 rupa:5 BEEF:0,postmabone:198 rupa:292 BEEF:604
694,BEEF,raki:15 rupa:12 curt:7 Thomato:9 BEEF:16 sivad:13 postmabone:10,raki:1128 rupa:643 curt:153 Thomato:838 BEEF:835 sivad:1168 postmabone:842
695,sivad,curt:1 sivad:2,curt:163 sivad:0
696,postmabone,LONG:0 postmabone:0 sivad:2,LONG:592 postmabone:301 sivad:59
697,sivad,Thomato:1 curt:2,Thomato:11 curt:208
698,postmabone,LONG:2 raki:1,LONG:308 raki:131
699,postmabone,postmabone:7 rupa:8 raki:6 Thomato:12 BEEF:12,postmabone:0 rupa:574 raki:809 Thomato:526 BEEF:203
700,BEEF,raki:8 BEEF:18 rupa:17 curt:18 LONG:12 Thomato:13 sivad:5,raki:1348 BEEF:2185 rupa:1209 curt:282 LONG:2120 Thomato:1293 sivad:26
701,rupa,sivad:7 BEEF:5 raki:3 Thomato:3,sivad:212 BEEF:354 raki:641 Thomato:250
702,postmabone,Thomato:0 sivad:0 LONG:13 BEEF:0 curt:15 postmabone:17 rupa:11 raki:6,Thomato:1082 sivad:787 LONG:1444 BEEF:1062 curt:1051 postmabone:1438 rupa:1429 raki:935
703,postmabone,raki:3 LONG:13 Thomato:6 postmabone:13 BEEF:13 curt:0,raki:313 LONG:545 Thomato:949 postmabone:0 BEEF:903 curt:1087
704,Thomato,Thomato:6 BEEF:0 sivad:5,Thomato:408 BEEF:463 sivad:476
